feature,importance_0,importance_1,importance_2,importance_3,importance_4,importance
B_18_max,20.0,15.0,24.0,24.0,23.0,21.2
D_104_mean,29.0,18.0,15.0,21.0,23.0,21.2
B_19_std,25.0,22.0,19.0,18.0,21.0,21.0
R_9_min,19.0,19.0,25.0,17.0,24.0,20.8
D_122_std,28.0,18.0,18.0,15.0,24.0,20.6
D_76_last,25.0,25.0,18.0,14.0,21.0,20.6
D_78_std,24.0,19.0,17.0,19.0,23.0,20.4
D_79_std,19.0,21.0,18.0,21.0,22.0,20.2
D_140_last,19.0,22.0,20.0,22.0,18.0,20.2
D_125_std,27.0,25.0,17.0,13.0,17.0,19.8
D_123_max,14.0,20.0,27.0,16.0,22.0,19.8
D_132_max,26.0,17.0,20.0,15.0,21.0,19.8
R_15_mean,24.0,21.0,18.0,15.0,20.0,19.6
D_113_std,17.0,22.0,12.0,22.0,25.0,19.6
D_132_std,20.0,17.0,22.0,12.0,27.0,19.6
D_82_std,26.0,21.0,17.0,14.0,19.0,19.4
D_110_max,20.0,22.0,20.0,17.0,18.0,19.4
D_142_std,22.0,16.0,26.0,23.0,10.0,19.4
D_91_mean,24.0,21.0,18.0,13.0,21.0,19.4
D_77_min,20.0,19.0,20.0,19.0,18.0,19.2
D_76_max,19.0,19.0,16.0,24.0,18.0,19.2
D_106_last,22.0,11.0,17.0,20.0,26.0,19.2
D_145_mean,20.0,20.0,14.0,18.0,23.0,19.0
B_29_last,22.0,24.0,16.0,18.0,15.0,19.0
D_50_min,27.0,23.0,18.0,15.0,11.0,18.8
D_105_mean,23.0,23.0,22.0,17.0,9.0,18.8
R_10_std,22.0,22.0,14.0,23.0,13.0,18.8
B_19_last,19.0,28.0,18.0,13.0,15.0,18.6
D_141_last,26.0,18.0,14.0,15.0,20.0,18.6
D_130_min,20.0,23.0,19.0,16.0,15.0,18.6
D_51_last,25.0,16.0,14.0,18.0,20.0,18.6
R_14_std,23.0,15.0,16.0,18.0,20.0,18.4
B_16_min,24.0,21.0,9.0,21.0,17.0,18.4
D_75_max,18.0,15.0,15.0,20.0,23.0,18.2
D_125_mean,17.0,20.0,24.0,11.0,19.0,18.2
D_114_last,20.0,20.0,15.0,17.0,19.0,18.2
S_15_min,16.0,18.0,21.0,24.0,12.0,18.2
D_44_max,17.0,16.0,25.0,13.0,19.0,18.0
D_49_max,24.0,13.0,22.0,14.0,17.0,18.0
B_19_max,20.0,17.0,19.0,14.0,20.0,18.0
P_4_mean,23.0,15.0,16.0,19.0,17.0,18.0
D_128_min,20.0,19.0,9.0,15.0,26.0,17.8
D_91_min,18.0,17.0,19.0,18.0,17.0,17.8
D_54_mean,22.0,16.0,17.0,16.0,18.0,17.8
D_53_max,23.0,23.0,16.0,16.0,11.0,17.8
D_118_mean,23.0,16.0,17.0,17.0,15.0,17.6
D_53_mean,24.0,13.0,23.0,15.0,13.0,17.6
D_78_mean,20.0,18.0,18.0,12.0,20.0,17.6
D_112_max,28.0,8.0,18.0,14.0,20.0,17.6
D_142_max,16.0,23.0,22.0,13.0,13.0,17.4
D_107_std,19.0,11.0,20.0,17.0,20.0,17.4
B_29_mean,21.0,14.0,14.0,18.0,19.0,17.2
R_8_std,23.0,13.0,17.0,16.0,17.0,17.2
D_140_std,13.0,20.0,19.0,12.0,20.0,16.8
D_131_last,17.0,26.0,17.0,14.0,10.0,16.8
R_20_last,16.0,10.0,13.0,17.0,26.0,16.4
D_134_last,18.0,20.0,20.0,9.0,14.0,16.2
D_41_min,15.0,20.0,15.0,15.0,16.0,16.2
B_29_max,16.0,12.0,17.0,16.0,19.0,16.0
D_135_std,21.0,12.0,14.0,15.0,18.0,16.0
D_119_mean,21.0,11.0,17.0,20.0,11.0,16.0
D_74_max,22.0,15.0,20.0,10.0,13.0,16.0
D_65_last,23.0,12.0,22.0,11.0,11.0,15.8
D_72_std,15.0,15.0,16.0,23.0,9.0,15.6
D_136_mean,22.0,12.0,7.0,16.0,20.0,15.4
D_142_last,15.0,18.0,16.0,11.0,17.0,15.4
D_51_std,14.0,22.0,14.0,13.0,14.0,15.4
S_27_min,14.0,19.0,10.0,18.0,16.0,15.4
D_105_last,19.0,19.0,11.0,12.0,15.0,15.2
B_19_min,11.0,17.0,15.0,13.0,20.0,15.2
D_141_mean,18.0,8.0,11.0,20.0,19.0,15.2
D_138_std,15.0,17.0,11.0,17.0,14.0,14.8
D_84_std,8.0,11.0,13.0,18.0,24.0,14.8
D_126_nunique,17.0,14.0,17.0,16.0,10.0,14.8
D_106_std,25.0,9.0,15.0,7.0,18.0,14.8
R_26_std,14.0,19.0,17.0,8.0,16.0,14.8
D_75_min,19.0,17.0,12.0,14.0,11.0,14.6
D_83_std,17.0,15.0,17.0,13.0,11.0,14.6
D_122_max,19.0,10.0,9.0,23.0,11.0,14.4
D_76_std,18.0,20.0,4.0,10.0,20.0,14.4
D_104_min,22.0,13.0,9.0,11.0,16.0,14.2
D_124_min,15.0,13.0,16.0,10.0,17.0,14.2
D_49_mean,19.0,15.0,5.0,10.0,22.0,14.2
B_33_std,24.0,13.0,7.0,11.0,16.0,14.2
R_26_mean,11.0,12.0,14.0,17.0,16.0,14.0
D_92_std,8.0,18.0,16.0,10.0,18.0,14.0
B_41_std,16.0,15.0,14.0,8.0,17.0,14.0
R_16_last,20.0,15.0,7.0,9.0,19.0,14.0
D_129_mean,13.0,16.0,5.0,15.0,20.0,13.8
D_129_std,25.0,12.0,12.0,10.0,10.0,13.8
R_2_std,19.0,15.0,6.0,15.0,14.0,13.8
D_64_last,15.0,13.0,11.0,17.0,13.0,13.8
D_145_std,15.0,10.0,19.0,9.0,15.0,13.6
D_53_min,15.0,10.0,16.0,11.0,16.0,13.6
D_122_last,7.0,14.0,17.0,16.0,13.0,13.4
S_13_max,16.0,12.0,11.0,9.0,19.0,13.4
D_105_min,17.0,11.0,12.0,9.0,18.0,13.4
D_107_mean,15.0,19.0,14.0,6.0,13.0,13.4
D_54_min,11.0,16.0,10.0,15.0,15.0,13.4
D_113_last,19.0,18.0,15.0,9.0,6.0,13.4
S_18_std,14.0,15.0,11.0,10.0,16.0,13.2
D_120_nunique,17.0,17.0,10.0,10.0,12.0,13.2
D_82_last,12.0,10.0,18.0,17.0,8.0,13.0
B_32_mean,15.0,13.0,15.0,10.0,12.0,13.0
S_6_std,15.0,12.0,13.0,12.0,12.0,12.8
R_8_last,9.0,20.0,9.0,15.0,10.0,12.6
D_79_mean,14.0,13.0,13.0,13.0,10.0,12.6
D_96_std,14.0,9.0,13.0,11.0,15.0,12.4
B_41_mean,11.0,12.0,14.0,15.0,10.0,12.4
D_132_last,14.0,9.0,6.0,18.0,15.0,12.4
B_30_nunique,16.0,12.0,11.0,13.0,9.0,12.2
R_12_min,15.0,11.0,11.0,13.0,11.0,12.2
D_136_std,9.0,15.0,12.0,10.0,13.0,11.8
D_79_last,11.0,9.0,14.0,11.0,14.0,11.8
S_18_mean,9.0,13.0,10.0,11.0,16.0,11.8
D_92_mean,13.0,6.0,14.0,15.0,11.0,11.8
R_12_mean,16.0,10.0,12.0,7.0,14.0,11.8
B_17_min,15.0,17.0,8.0,10.0,9.0,11.8
D_81_std,17.0,14.0,7.0,5.0,16.0,11.8
S_6_mean,11.0,9.0,13.0,15.0,10.0,11.6
R_15_std,12.0,9.0,8.0,15.0,14.0,11.6
D_130_std,10.0,7.0,13.0,12.0,15.0,11.4
R_26_last,14.0,11.0,14.0,8.0,10.0,11.4
D_106_max,18.0,10.0,14.0,9.0,6.0,11.4
B_38_nunique,13.0,12.0,7.0,14.0,11.0,11.4
B_16_max,14.0,11.0,11.0,9.0,11.0,11.2
D_145_max,17.0,13.0,8.0,10.0,8.0,11.2
D_108_mean,11.0,10.0,6.0,18.0,11.0,11.2
D_78_last,11.0,6.0,13.0,10.0,16.0,11.2
R_8_mean,9.0,9.0,10.0,12.0,15.0,11.0
D_108_std,11.0,14.0,14.0,9.0,7.0,11.0
R_19_std,8.0,14.0,11.0,11.0,11.0,11.0
B_38_last,13.0,8.0,12.0,14.0,8.0,11.0
D_131_max,13.0,11.0,10.0,8.0,12.0,10.8
D_74_last,13.0,13.0,6.0,8.0,14.0,10.8
S_20_mean,16.0,9.0,9.0,8.0,12.0,10.8
D_81_mean,14.0,8.0,10.0,12.0,10.0,10.8
R_22_std,10.0,12.0,8.0,8.0,15.0,10.6
D_76_mean,17.0,6.0,10.0,14.0,6.0,10.6
P_4_min,14.0,10.0,6.0,5.0,17.0,10.4
R_9_std,15.0,8.0,5.0,8.0,14.0,10.0
D_70_max,11.0,11.0,9.0,13.0,6.0,10.0
D_141_std,12.0,9.0,8.0,12.0,8.0,9.8
B_20_min,13.0,7.0,10.0,11.0,8.0,9.8
R_9_max,10.0,12.0,8.0,14.0,5.0,9.8
D_106_mean,13.0,9.0,10.0,5.0,12.0,9.8
R_7_std,15.0,8.0,10.0,11.0,5.0,9.8
D_96_mean,11.0,7.0,10.0,7.0,14.0,9.8
D_75_last,11.0,11.0,7.0,11.0,8.0,9.6
D_70_last,10.0,9.0,6.0,16.0,7.0,9.6
D_138_mean,15.0,6.0,11.0,7.0,9.0,9.6
D_142_min,13.0,8.0,1.0,10.0,15.0,9.4
P_4_last,14.0,16.0,4.0,8.0,5.0,9.4
D_141_min,6.0,6.0,12.0,12.0,10.0,9.2
S_20_std,11.0,9.0,8.0,2.0,15.0,9.0
D_44_min,11.0,8.0,10.0,6.0,10.0,9.0
D_82_mean,9.0,9.0,7.0,8.0,12.0,9.0
D_135_mean,12.0,6.0,10.0,9.0,8.0,9.0
D_66_nunique,9.0,10.0,10.0,,7.0,9.0
D_89_std,12.0,10.0,8.0,8.0,6.0,8.8
B_22_last,7.0,8.0,9.0,13.0,6.0,8.6
D_145_last,8.0,11.0,8.0,5.0,11.0,8.6
D_142_mean,12.0,6.0,5.0,9.0,11.0,8.6
R_3_min,10.0,8.0,9.0,4.0,11.0,8.4
D_134_std,13.0,13.0,6.0,4.0,6.0,8.4
D_54_max,6.0,7.0,5.0,13.0,11.0,8.4
D_72_last,9.0,10.0,9.0,7.0,7.0,8.4
D_111_mean,11.0,11.0,6.0,6.0,8.0,8.4
D_96_last,11.0,6.0,11.0,10.0,3.0,8.2
D_39_min,7.0,10.0,8.0,11.0,5.0,8.2
B_33_mean,7.0,10.0,7.0,9.0,8.0,8.2
R_7_max,11.0,8.0,8.0,9.0,5.0,8.2
D_122_min,5.0,7.0,6.0,16.0,7.0,8.2
R_26_min,11.0,11.0,6.0,6.0,7.0,8.2
R_11_max,11.0,10.0,7.0,7.0,6.0,8.2
D_113_max,8.0,9.0,4.0,7.0,13.0,8.2
D_110_last,13.0,7.0,10.0,6.0,4.0,8.0
D_84_mean,11.0,10.0,4.0,9.0,6.0,8.0
R_24_mean,11.0,6.0,7.0,7.0,9.0,8.0
D_63_last,5.0,7.0,10.0,10.0,8.0,8.0
R_4_mean,1.0,10.0,12.0,5.0,12.0,8.0
D_103_std,15.0,6.0,5.0,7.0,6.0,7.8
D_127_mean,8.0,8.0,8.0,6.0,9.0,7.8
R_5_mean,7.0,5.0,7.0,10.0,10.0,7.8
R_14_max,13.0,6.0,7.0,9.0,3.0,7.6
B_39_mean,9.0,2.0,7.0,13.0,7.0,7.6
R_20_mean,10.0,8.0,6.0,7.0,7.0,7.6
D_73_std,10.0,4.0,7.0,6.0,11.0,7.6
D_137_std,3.0,9.0,7.0,7.0,11.0,7.4
D_70_min,8.0,7.0,5.0,8.0,9.0,7.4
D_138_last,9.0,7.0,6.0,4.0,11.0,7.4
D_76_min,12.0,8.0,2.0,4.0,10.0,7.2
D_86_last,8.0,3.0,8.0,11.0,6.0,7.2
D_106_min,9.0,7.0,6.0,8.0,6.0,7.2
D_143_std,11.0,9.0,2.0,7.0,7.0,7.2
B_39_max,10.0,3.0,12.0,5.0,5.0,7.0
R_17_std,6.0,6.0,6.0,10.0,7.0,7.0
D_127_std,4.0,13.0,8.0,6.0,3.0,6.8
B_32_std,11.0,1.0,8.0,6.0,8.0,6.8
D_73_mean,6.0,8.0,11.0,3.0,6.0,6.8
D_84_last,9.0,7.0,7.0,7.0,4.0,6.8
D_49_min,8.0,8.0,4.0,4.0,10.0,6.8
S_13_min,11.0,6.0,5.0,6.0,5.0,6.6
D_64_nunique,4.0,5.0,11.0,7.0,6.0,6.6
R_5_std,4.0,7.0,7.0,4.0,11.0,6.6
D_88_max,4.0,8.0,,2.0,12.0,6.5
D_68_last,9.0,4.0,10.0,3.0,6.0,6.4
D_72_max,3.0,8.0,4.0,9.0,8.0,6.4
R_12_max,6.0,5.0,4.0,7.0,10.0,6.4
R_22_mean,10.0,10.0,7.0,3.0,2.0,6.4
D_110_std,9.0,6.0,9.0,4.0,4.0,6.4
R_12_std,11.0,5.0,7.0,4.0,5.0,6.4
D_113_min,10.0,7.0,3.0,4.0,8.0,6.4
D_88_std,7.0,3.0,10.0,7.0,4.0,6.2
D_132_mean,4.0,8.0,6.0,6.0,7.0,6.2
D_80_max,8.0,2.0,4.0,8.0,8.0,6.0
D_81_max,7.0,1.0,4.0,10.0,8.0,6.0
D_131_std,7.0,3.0,4.0,10.0,5.0,5.8
R_4_std,3.0,5.0,13.0,3.0,5.0,5.8
R_2_mean,7.0,8.0,4.0,3.0,7.0,5.8
R_26_max,6.0,3.0,4.0,5.0,11.0,5.8
D_134_mean,7.0,5.0,7.0,5.0,5.0,5.8
D_143_mean,6.0,8.0,3.0,3.0,9.0,5.8
D_86_mean,11.0,9.0,1.0,6.0,2.0,5.8
R_20_std,4.0,8.0,4.0,9.0,4.0,5.8
D_139_std,9.0,2.0,4.0,5.0,8.0,5.6
D_78_max,10.0,5.0,5.0,5.0,3.0,5.6
D_139_mean,7.0,3.0,6.0,5.0,7.0,5.6
D_131_mean,7.0,6.0,4.0,7.0,4.0,5.6
R_4_last,6.0,6.0,6.0,5.0,5.0,5.6
D_83_last,5.0,9.0,7.0,1.0,5.0,5.4
B_29_min,10.0,6.0,5.0,5.0,1.0,5.4
R_21_mean,6.0,5.0,6.0,7.0,3.0,5.4
R_15_last,10.0,6.0,3.0,7.0,1.0,5.4
R_14_mean,3.0,8.0,7.0,6.0,3.0,5.4
R_21_std,8.0,3.0,7.0,4.0,5.0,5.4
R_13_last,5.0,,3.0,8.0,5.0,5.25
R_13_std,6.0,6.0,4.0,,5.0,5.25
D_83_max,6.0,5.0,1.0,7.0,7.0,5.2
D_117_nunique,5.0,5.0,5.0,5.0,6.0,5.2
B_41_max,8.0,4.0,5.0,8.0,1.0,5.2
B_39_last,9.0,7.0,3.0,4.0,3.0,5.2
B_32_last,4.0,3.0,4.0,10.0,5.0,5.2
R_24_std,8.0,4.0,3.0,6.0,5.0,5.2
R_10_max,5.0,7.0,4.0,3.0,6.0,5.0
R_9_last,6.0,5.0,7.0,4.0,3.0,5.0
B_41_last,4.0,1.0,6.0,10.0,4.0,5.0
D_127_last,5.0,2.0,3.0,10.0,,5.0
D_134_min,5.0,5.0,4.0,2.0,8.0,4.8
D_94_mean,5.0,3.0,8.0,2.0,6.0,4.8
D_51_min,5.0,4.0,5.0,4.0,6.0,4.8
S_6_last,1.0,9.0,2.0,3.0,9.0,4.8
D_86_std,7.0,5.0,2.0,2.0,8.0,4.8
R_7_mean,3.0,10.0,3.0,5.0,3.0,4.8
B_39_std,5.0,4.0,2.0,2.0,11.0,4.8
R_16_max,6.0,5.0,4.0,5.0,4.0,4.8
D_51_max,5.0,4.0,9.0,3.0,2.0,4.6
D_137_mean,3.0,6.0,4.0,3.0,7.0,4.6
D_79_max,4.0,1.0,8.0,7.0,3.0,4.6
D_129_last,3.0,5.0,4.0,2.0,9.0,4.6
D_107_last,5.0,6.0,7.0,4.0,1.0,4.6
D_108_last,5.0,4.0,9.0,3.0,2.0,4.6
D_54_std,5.0,2.0,3.0,4.0,8.0,4.4
D_103_mean,6.0,3.0,5.0,5.0,3.0,4.4
R_20_max,2.0,9.0,4.0,5.0,2.0,4.4
D_73_last,4.0,3.0,1.0,7.0,7.0,4.4
D_80_min,9.0,1.0,,4.0,3.0,4.25
D_131_min,7.0,5.0,1.0,6.0,2.0,4.2
D_93_mean,3.0,9.0,1.0,3.0,5.0,4.2
B_31_last,2.0,6.0,3.0,5.0,4.0,4.0
D_140_min,2.0,,,4.0,6.0,4.0
D_63_nunique,7.0,1.0,6.0,2.0,3.0,3.8
D_145_min,9.0,2.0,3.0,4.0,1.0,3.8
D_84_max,6.0,5.0,3.0,3.0,2.0,3.8
D_88_mean,5.0,1.0,5.0,4.0,4.0,3.8
D_88_last,5.0,1.0,4.0,8.0,1.0,3.8
D_91_last,4.0,6.0,3.0,5.0,1.0,3.8
R_24_last,5.0,7.0,3.0,1.0,3.0,3.8
D_107_min,6.0,2.0,2.0,5.0,4.0,3.8
B_42_min,6.0,3.0,4.0,1.0,4.0,3.6
D_107_max,7.0,1.0,2.0,4.0,4.0,3.6
R_13_max,3.0,5.0,1.0,4.0,5.0,3.6
R_25_mean,1.0,2.0,9.0,3.0,3.0,3.6
D_68_nunique,2.0,4.0,3.0,4.0,5.0,3.6
D_135_last,3.0,1.0,8.0,1.0,4.0,3.4
D_82_max,3.0,4.0,2.0,6.0,2.0,3.4
R_5_max,4.0,4.0,3.0,4.0,2.0,3.4
D_125_max,1.0,4.0,1.0,5.0,6.0,3.4
B_20_max,1.0,5.0,4.0,4.0,3.0,3.4
B_16_last,6.0,1.0,1.0,3.0,5.0,3.2
D_110_mean,4.0,4.0,3.0,1.0,4.0,3.2
R_8_max,3.0,7.0,1.0,4.0,1.0,3.2
B_30_last,6.0,1.0,3.0,3.0,2.0,3.0
D_72_min,5.0,5.0,1.0,1.0,3.0,3.0
R_15_max,2.0,4.0,2.0,4.0,3.0,3.0
D_126_last,1.0,6.0,2.0,3.0,,3.0
R_25_std,5.0,2.0,3.0,3.0,2.0,3.0
D_129_min,5.0,3.0,,2.0,2.0,3.0
D_89_mean,5.0,3.0,1.0,1.0,4.0,2.8
D_132_min,2.0,1.0,4.0,,4.0,2.75
D_116_last,1.0,4.0,,2.0,4.0,2.75
S_20_last,3.0,,4.0,1.0,3.0,2.75
D_135_max,4.0,3.0,,1.0,,2.6666666666666665
D_125_last,4.0,,3.0,,1.0,2.6666666666666665
D_116_nunique,1.0,5.0,4.0,2.0,1.0,2.6
D_111_std,4.0,5.0,2.0,1.0,1.0,2.6
D_138_max,2.0,2.0,2.0,3.0,4.0,2.6
D_89_last,4.0,,1.0,1.0,4.0,2.5
D_111_max,2.0,3.0,4.0,,1.0,2.5
R_23_mean,4.0,,1.0,,,2.5
B_22_max,1.0,3.0,4.0,2.0,,2.5
R_17_mean,1.0,3.0,2.0,3.0,3.0,2.4
D_84_min,5.0,1.0,1.0,,,2.3333333333333335
D_89_max,2.0,4.0,,1.0,,2.3333333333333335
D_111_last,3.0,3.0,,1.0,,2.3333333333333335
R_18_max,4.0,2.0,1.0,,,2.3333333333333335
D_73_max,1.0,5.0,1.0,,2.0,2.25
R_17_last,3.0,3.0,2.0,1.0,,2.25
R_28_std,2.0,2.0,2.0,,3.0,2.25
D_93_std,5.0,,2.0,1.0,1.0,2.25
R_19_mean,4.0,4.0,1.0,1.0,1.0,2.2
D_125_min,1.0,3.0,,,,2.0
D_136_last,1.0,2.0,1.0,4.0,2.0,2.0
R_13_mean,2.0,2.0,2.0,2.0,2.0,2.0
R_24_max,2.0,,,,,2.0
D_94_std,3.0,,1.0,1.0,3.0,2.0
D_81_last,1.0,,3.0,2.0,2.0,2.0
D_139_last,2.0,,,,,2.0
B_31_mean,1.0,1.0,,4.0,2.0,2.0
B_32_min,4.0,1.0,1.0,2.0,,2.0
D_114_nunique,2.0,,,2.0,2.0,2.0
D_91_max,1.0,1.0,2.0,3.0,3.0,2.0
R_23_max,2.0,,,,,2.0
B_33_last,2.0,3.0,2.0,1.0,2.0,2.0
B_42_std,1.0,3.0,1.0,1.0,3.0,1.8
B_31_std,2.0,1.0,2.0,3.0,1.0,1.8
R_14_last,2.0,1.0,2.0,,2.0,1.75
R_28_mean,1.0,,1.0,3.0,2.0,1.75
D_81_min,1.0,,2.0,,2.0,1.6666666666666667
D_108_max,2.0,,,2.0,1.0,1.6666666666666667
D_103_last,1.0,2.0,2.0,,,1.6666666666666667
D_109_std,2.0,,1.0,2.0,,1.6666666666666667
R_23_std,3.0,,1.0,,1.0,1.6666666666666667
B_30_count,1.0,2.0,,2.0,,1.6666666666666667
D_96_max,1.0,1.0,1.0,1.0,4.0,1.6
D_140_max,1.0,1.0,2.0,2.0,,1.5
S_20_max,1.0,1.0,,1.0,3.0,1.5
R_17_max,1.0,1.0,,1.0,3.0,1.5
R_11_min,1.0,,,2.0,,1.5
D_78_min,2.0,,1.0,,1.0,1.3333333333333333
B_22_min,1.0,1.0,,2.0,,1.3333333333333333
D_83_min,1.0,1.0,1.0,,2.0,1.25
D_79_min,1.0,,1.0,,,1.0
R_18_mean,1.0,1.0,,,,1.0
R_22_last,1.0,,,1.0,,1.0
D_143_last,1.0,1.0,,,,1.0
D_129_max,1.0,,,,,1.0
D_110_min,1.0,1.0,,,1.0,1.0
D_65_min,1.0,,1.0,,,1.0
S_6_max,1.0,,1.0,1.0,,1.0
B_38_count,1.0,,1.0,1.0,1.0,1.0
