feature,importance_0,importance_1,importance_2,importance_3,importance_4,importance
B_36_mean,69.0,63.0,67.0,56.0,53.0,61.6
S_24_max,79.0,46.0,55.0,56.0,72.0,61.6
S_17_last,81.0,56.0,60.0,48.0,62.0,61.4
S_8_mean,54.0,52.0,79.0,50.0,70.0,61.0
D_48_std,68.0,57.0,63.0,56.0,61.0,61.0
S_16_mean,67.0,72.0,59.0,47.0,58.0,60.6
S_23_max,76.0,65.0,56.0,53.0,52.0,60.4
S_23_mean,69.0,59.0,71.0,51.0,51.0,60.2
B_21_mean,93.0,50.0,58.0,47.0,53.0,60.2
B_13_std,67.0,59.0,52.0,56.0,67.0,60.2
B_40_max,56.0,65.0,65.0,57.0,57.0,60.0
P_3_std,66.0,69.0,56.0,50.0,58.0,59.8
P_2_std,74.0,44.0,71.0,50.0,59.0,59.6
D_144_last,59.0,64.0,57.0,51.0,66.0,59.4
D_53_last,75.0,55.0,63.0,54.0,50.0,59.4
S_27_max,64.0,73.0,50.0,48.0,60.0,59.0
S_5_std,71.0,63.0,63.0,52.0,45.0,58.8
R_27_min,68.0,70.0,44.0,53.0,58.0,58.6
D_49_std,62.0,50.0,67.0,60.0,54.0,58.6
D_45_std,50.0,72.0,52.0,60.0,58.0,58.4
B_10_std,58.0,63.0,62.0,54.0,55.0,58.4
D_52_std,81.0,55.0,47.0,48.0,60.0,58.2
B_27_std,78.0,53.0,40.0,53.0,65.0,57.8
B_21_max,69.0,40.0,65.0,60.0,55.0,57.8
S_16_max,74.0,47.0,60.0,46.0,62.0,57.8
S_5_max,58.0,62.0,57.0,47.0,64.0,57.6
D_45_min,57.0,63.0,58.0,54.0,56.0,57.6
D_58_std,67.0,46.0,47.0,67.0,61.0,57.6
B_5_max,55.0,58.0,65.0,56.0,54.0,57.6
B_36_min,60.0,64.0,54.0,45.0,64.0,57.4
B_5_mean,63.0,53.0,52.0,60.0,58.0,57.2
R_6_std,64.0,58.0,57.0,44.0,62.0,57.0
B_27_last,64.0,71.0,51.0,48.0,50.0,56.8
D_62_std,49.0,62.0,39.0,60.0,73.0,56.6
S_26_min,85.0,50.0,48.0,50.0,49.0,56.4
D_50_max,60.0,48.0,58.0,57.0,58.0,56.2
D_71_min,78.0,55.0,35.0,50.0,62.0,56.0
D_43_std,68.0,52.0,48.0,48.0,64.0,56.0
D_55_std,62.0,53.0,54.0,56.0,54.0,55.8
S_22_std,64.0,51.0,53.0,47.0,62.0,55.4
B_6_std,60.0,58.0,39.0,42.0,78.0,55.4
B_2_std,76.0,58.0,51.0,38.0,53.0,55.2
B_15_mean,60.0,64.0,51.0,51.0,49.0,55.0
S_8_last,57.0,53.0,48.0,55.0,62.0,55.0
S_17_std,77.0,44.0,55.0,48.0,50.0,54.8
S_19_min,62.0,56.0,55.0,50.0,48.0,54.2
B_24_mean,51.0,72.0,40.0,49.0,59.0,54.2
S_26_std,72.0,39.0,61.0,44.0,54.0,54.0
D_43_mean,57.0,51.0,41.0,52.0,68.0,53.8
S_25_min,58.0,66.0,42.0,56.0,45.0,53.4
B_9_min,63.0,61.0,48.0,39.0,55.0,53.2
B_28_min,59.0,49.0,60.0,56.0,42.0,53.2
S_19_max,54.0,55.0,47.0,51.0,59.0,53.2
D_102_last,75.0,46.0,44.0,42.0,59.0,53.2
S_22_max,73.0,51.0,55.0,36.0,51.0,53.2
S_16_std,65.0,55.0,49.0,45.0,50.0,52.8
S_17_min,70.0,54.0,44.0,44.0,52.0,52.8
B_6_min,64.0,41.0,55.0,40.0,62.0,52.4
D_47_std,62.0,57.0,38.0,49.0,56.0,52.4
D_62_min,56.0,47.0,47.0,53.0,58.0,52.2
S_7_max,58.0,55.0,49.0,44.0,55.0,52.2
D_69_max,48.0,55.0,46.0,51.0,60.0,52.0
B_10_min,57.0,52.0,40.0,51.0,60.0,52.0
D_50_last,63.0,52.0,49.0,52.0,43.0,51.8
B_14_std,65.0,50.0,48.0,43.0,53.0,51.8
D_112_mean,54.0,49.0,51.0,48.0,57.0,51.8
D_112_last,62.0,41.0,49.0,54.0,52.0,51.6
B_25_last,57.0,59.0,40.0,44.0,58.0,51.6
B_3_max,51.0,42.0,57.0,57.0,51.0,51.6
D_60_std,60.0,54.0,53.0,49.0,41.0,51.4
R_27_std,50.0,57.0,40.0,52.0,58.0,51.4
D_119_last,53.0,41.0,50.0,54.0,59.0,51.4
D_69_mean,61.0,57.0,41.0,51.0,46.0,51.2
P_3_min,53.0,57.0,47.0,45.0,53.0,51.0
D_62_last,56.0,55.0,47.0,47.0,50.0,51.0
S_11_max,54.0,53.0,46.0,47.0,55.0,51.0
